rok;ms;dz;godz;fco2_MQ;fco2_HQ;fco2_raw;glwody;T50cm;T2m;Kd;Ku;Ld;Lu;ppp;v;vdir;Tgrunt;vwc;PARd;PARu
2013;1;6;13.5;-0.51;;-0.51;4.9;-1.5;-1.6;24.5;2.5;295.0;312.7;1003.0;2.8;0.7;0.7;0.783;52.1;3.0
2013;1;6;14.5;-0.41;;-0.41;4.5;-1.9;-1.9;10.2;1.3;292.8;311.7;1003.3;2.8;360.0;0.7;0.783;22.7;1.0
2013;1;6;15.5;0.05;;0.05;4.7;-2.0;-2.0;1.7;0.7;290.6;311.1;1003.2;2.6;346.3;0.7;0.783;4.7;0.0
2013;1;6;16.5;0.0;;0.0;4.7;-2.0;-2.0;0.0;0.6;290.8;311.0;1003.3;2.3;340.1;0.8;0.783;0.0;0.0
2013;1;6;17.5;-0.4;;-0.4;4.6;-2.0;-2.0;0.0;0.5;291.0;310.7;1003.9;3.5;15.4;0.8;0.782;0.0;0.0
2013;1;6;18.5;-0.38;;-0.38;4.2;-2.6;-2.6;0.0;0.4;288.2;309.2;1004.8;3.9;23.2;0.8;0.782;0.0;0.0
2013;1;6;19.5;;;-0.18;4.2;-2.7;-2.7;0.0;0.5;287.3;308.8;1005.6;3.9;25.7;0.8;0.782;0.0;0.0
2013;1;6;20.5;-0.33;;-0.33;4.5;-2.7;-2.8;0.0;0.6;281.7;308.3;1006.2;3.2;14.2;0.8;0.782;0.0;0.0
2013;1;6;21.5;-0.44;;-0.44;4.4;-2.6;-2.7;0.0;0.6;285.1;308.5;1007.0;3.2;1.1;0.8;0.782;0.0;0.0
2013;1;6;22.5;;;-0.28;4.4;-2.6;-2.6;0.0;0.6;286.4;308.6;1007.8;3.1;11.6;0.8;0.781;0.0;0.0
2013;1;6;23.5;-0.39;;-0.39;4.3;-2.6;-2.6;0.0;0.5;287.4;308.6;1008.3;3.1;19.8;0.8;0.781;0.0;0.0
2013;1;7;0.5;-0.41;;-0.41;4.4;-2.9;-3.0;0.0;0.5;284.0;307.5;1009.0;3.0;22.1;0.9;0.781;0.0;0.0
2013;1;7;1.5;-0.4;;-0.4;4.5;-3.0;-3.0;0.0;0.7;284.0;307.5;1009.6;2.1;10.1;0.9;0.781;0.0;0.0
2013;1;7;2.5;-0.59;;-0.59;4.5;-2.9;-2.9;0.0;0.8;284.6;307.8;1009.9;2.2;4.0;0.9;0.781;0.0;0.0
2013;1;7;3.5;-0.39;;-0.39;4.9;-2.9;-2.9;0.0;0.6;286.8;307.8;1010.2;2.1;1.0;0.9;0.78;0.0;0.0
2013;1;7;4.5;-0.36;;-0.36;4.5;-3.1;-3.1;0.0;0.5;286.5;306.9;1010.6;3.3;358.7;0.9;0.78;0.0;0.0
2013;1;7;5.5;-0.46;;-0.46;4.6;-3.4;-3.4;0.0;0.4;285.5;306.2;1011.1;3.3;3.8;0.8;0.78;0.0;0.0
2013;1;7;6.5;-0.44;;-0.44;4.6;-3.8;-3.9;0.0;0.4;284.8;305.2;1011.8;3.0;12.7;0.8;0.78;0.0;0.0
2013;1;7;7.5;-0.43;;-0.43;4.6;-4.1;-4.2;0.0;0.5;283.9;304.5;1012.5;3.0;354.2;0.8;0.78;0.7;0.0
2013;1;7;8.5;-0.59;;-0.59;4.5;-4.1;-4.2;6.3;1.2;283.8;304.6;1013.2;2.4;11.2;0.8;0.78;14.6;0.5
2013;1;7;9.5;-0.71;;-0.71;4.6;-4.0;-4.1;20.7;2.6;283.5;305.1;1013.8;2.6;5.4;0.7;0.78;44.4;2.7
2013;1;7;10.5;-0.46;;-0.46;4.4;-3.6;-3.9;44.7;4.9;282.6;306.3;1014.1;2.3;2.7;0.7;0.779;93.1;6.3
2013;1;7;11.5;-0.54;;-0.54;4.8;-3.4;-3.7;40.1;4.4;284.3;306.9;1013.9;2.3;4.5;0.7;0.779;85.0;5.7
2013;1;7;12.5;-0.57;;-0.57;4.8;-3.3;-3.6;59.1;6.0;283.0;307.2;1013.9;2.6;9.4;0.7;0.779;121.1;7.8
2013;1;7;13.5;-0.61;;-0.61;4.8;-3.4;-3.6;36.0;3.7;283.6;306.7;1014.1;2.5;9.1;0.7;0.779;74.6;4.4
2013;1;7;14.5;-0.53;;-0.53;4.4;-3.5;-3.7;14.2;1.8;284.1;306.1;1014.5;1.9;9.8;0.7;0.779;30.7;1.5
2013;1;7;15.5;-0.48;;-0.48;4.7;-3.6;-3.7;1.1;0.7;284.7;305.5;1014.8;2.0;356.8;0.7;0.779;3.7;0.0
2013;1;7;16.5;-0.39;;-0.39;4.6;-4.0;-4.1;0.0;0.5;282.7;304.0;1015.1;2.4;351.5;0.7;0.779;0.0;0.0
2013;1;7;17.5;-0.32;;-0.32;4.6;-4.1;-4.2;0.0;0.6;282.3;303.7;1015.3;1.8;350.2;0.7;0.779;0.0;0.0
2013;1;7;18.5;-0.33;;-0.33;4.7;-4.3;-4.4;0.0;0.5;281.8;303.0;1015.6;2.1;349.9;0.7;0.779;0.0;0.0
2013;1;7;19.5;-0.04;;-0.04;4.5;-4.4;-4.6;0.0;0.6;281.2;302.7;1015.8;2.0;323.7;0.7;0.779;0.0;0.0
2013;1;7;20.5;-0.51;;-0.51;4.9;-4.6;-4.7;0.0;0.6;280.6;302.5;1016.0;1.4;356.9;0.7;0.779;0.0;0.0
2013;1;7;21.5;-0.27;;-0.27;4.8;-4.7;-4.9;0.0;0.7;280.5;302.3;1016.1;1.4;316.8;0.7;0.779;0.0;0.0
2013;1;7;22.5;-0.23;;-0.23;4.8;-4.8;-5.0;0.0;0.7;280.0;301.9;1016.2;0.8;0.6;0.7;0.779;0.0;0.0
2013;1;7;23.5;-0.68;;-0.68;4.8;-4.9;-5.0;0.0;0.8;280.2;302.0;1016.0;0.7;31.1;0.7;0.779;0.0;0.0
2013;1;8;0.5;-0.37;;-0.37;5.0;-4.9;-5.1;0.0;0.8;280.2;301.9;1015.7;0.9;32.4;0.7;0.779;0.0;0.0
2013;1;8;1.5;-0.33;;-0.33;5.1;-5.1;-5.2;0.0;0.7;279.8;301.4;1015.5;0.9;33.0;0.7;0.779;0.0;0.0
2013;1;8;2.5;-0.38;;-0.38;4.9;-5.1;-5.2;0.0;0.8;279.8;301.4;1015.4;0.7;329.4;0.7;0.779;0.0;0.0
2013;1;8;3.5;-0.23;;-0.23;5.0;-5.2;-5.3;0.0;0.7;279.5;301.0;1015.2;1.1;237.5;0.7;0.779;0.0;0.0
2013;1;8;4.5;-0.28;;-0.28;5.2;-5.4;-5.6;0.0;0.6;278.7;300.4;1014.6;1.0;226.9;0.7;0.779;0.0;0.0
2013;1;8;5.5;-0.13;;-0.13;5.3;-5.6;-5.8;0.0;0.6;278.0;299.7;1014.4;1.5;205.2;0.7;0.779;0.0;0.0
